🥿,-16249064
🎽,-15961709
🛴,-15723755
🦕,-15454665
🔨,-15395305
🧞,-15322825
🧢,-15190946
🌲,-15126245
🧤,-15049667
👗,-15049643
🐾,-15000805
🦋,-14923168
🔧,-14869218
🛸,-14867676
🧩,-14857098
👣,-14803426
🏴,-14803426
🧷,-14802393
🌱,-14798839
🚿,-14796484
💧,-14792098
🌂,-14739923
🏇,-14739436
🧹,-14739186
🛹,-14737644
🥄,-14737117
🥍,-14736859
🛫,-14735826
🚶,-14674670
📞,-14671839
🔌,-14606307
🛬,-14603982
🧪,-14599129
🎓,-14541546
🐃,-14541282
👓,-14539228
🚲,-14538963
🎣,-14472395
🗽,-14470094
🦎,-14469857
🥢,-14413037
🗻,-14407892
🎄,-14404835
🦖,-14404598
🧿,-14336885
💦,-14328972
🏒,-14279141
🦝,-14278374
📱,-14276313
📲,-14274249
🌑,-14274238
🕺,-14215904
🦓,-14211805
⚓,-14211288
🦗,-14147820
🐎,-14146278
🤸,-14146027
🎤,-14145496
🎧,-14145495
🍴,-14144979
📘,-14134670
💉,-14082530
🌿,-14071790
🥏,-14068100
🦡,-14014427
🎼,-14013910
🐬,-14003364
👖,-13945519
🥬,-13932247
⌚,-13882325
📿,-13821927
🐜,-13818589
🔪,-13816274
🦚,-13806540
🦘,-13753577
💂,-13753323
🏑,-13752035
🐢,-13746912
🌴,-13746667
🛂,-13729061
🗼,-13692914
🎩,-13685984
🐊,-13680339
🐳,-13668737
👾,-13621958
🚥,-13619932
🦛,-13619409
🚴,-13619156
🤳,-13554137
🍾,-13553374
👤,-13547945
🛃,-13531684
🦅,-13489112
🎋,-13488880
🚦,-13488090
⛳,-13487086
🚛,-13476811
🏃,-13425899
🥾,-13423837
🧬,-13421480
☔,-13421219
🚩,-13366003
📟,-13343929
📍,-13297384
🕋,-13290964
📎,-13289154
🐟,-13286317
⚡,-13227765
🐗,-13226971
🚡,-13225185
🦜,-13223404
🚊,-13221566
🏄,-13217740
🛷,-13169138
🥀,-13164008
🥕,-13162225
🎿,-13154248
✨,-13096431
🍍,-13094637
🔦,-13092551
🐍,-13090790
🛅,-13072164
🦒,-13031150
🦇,-13029850
🚤,-13029350
🦏,-13027530
🚏,-13027526
🎮,-13027277
👙,-12968926
🚣,-12968170
🚣,-12968170
🧳,-12965346
🧳,-12965346
🐘,-12960966
🎢,-12959963
🚰,-12959419
🌳,-12955370
🥦,-12954075
💎,-12951430
🦠,-12949481
🏂,-12897746
🍸,-12895691
🌚,-12894387
🥣,-12891040
👥,-12889497
🦂,-12835574
🦵,-12833779
🐐,-12831701
🐧,-12831444
🐀,-12830926
🍳,-12830416
📼,-12829636
⛲,-12826810
🌵,-12822744
🦆,-12765134
🎍,-12764641
🔗,-12763326
💺,-12762801
🧵,-12759473
🧵,-12759473
🧵,-12759473
🗿,-12698054
🗿,-12698054
🦴,-12698050
🔬,-12696505
📭,-12695215
🚈,-12694691
📫,-12691865
🍆,-12636871
🤾,-12633559
🔫,-12620750
👞,-12573669
🐪,-12571365
🐅,-12571364
🐂,-12571360
🚠,-12569546
🏹,-12568008
🐄,-12567237
🐺,-12566721
🎬,-12566720
🚓,-12564921
🍃,-12562389
📪,-12559252
🍀,-12552931
🧙,-12502754
🔭,-12500928
👕,-12492676
📌,-12445157
🎻,-12440292
🔩,-12434618
📯,-12373987
🦟,-12371407
🍬,-12369333
🚉,-12367799
📏,-12367536
🦈,-12367028
🥒,-12361942
🌎,-12361858
🎺,-12305380
🍡,-12304592
🦍,-12303549
💣,-12303295
🏁,-12303292
🎥,-12302775
🐞,-12244707
🍗,-12243427
🧛,-12242914
💩,-12242652
🦉,-12240850
🍹,-12240603
🚇,-12239041
👮,-12237519
🌘,-12237510
🚄,-12236210
🚎,-12229771
🥉,-12180461
🎷,-12174567
🥂,-12173265
🎱,-12171706
🌒,-12171458
🧟,-12170430
💍,-12170418
🐦,-12168621
🐋,-12167329
🎸,-12114909
🦔,-12109781
🥈,-12107195
🐛,-12106203
💻,-12105913
📷,-12105913
🛄,-12087074
🚋,-12039101
🌊,-12034453
🔋,-12031433
🧕,-11979202
🐆,-11978203
📬,-11972263
🚁,-11914187
🎎,-11913157
💈,-11912114
👢,-11911892
🚜,-11909601
🚔,-11906473
🚆,-11905180
👄,-11853526
🥤,-11849166
🌌,-11838352
🧼,-11830939
🥶,-11830620
🐴,-11779280
👟,-11777206
🧣,-11725549
💃,-11721969
🍂,-11719925
🚝,-11709088
🏏,-11653099
🖕,-11650545
🛌,-11647162
💄,-11590108
🧫,-11585468
👝,-11584729
🏅,-11584222
🏯,-11580852
📚,-11579327
🥌,-11521229
🏺,-11520474
🚀,-11520469
🐫,-11519447
🛵,-11517148
🧜,-11516622
🚅,-11512487
🐠,-11509181
🤖,-11508377
⛵,-11457000
🍷,-11454152
🎭,-11452358
🧺,-11451596
🍢,-11451338
🧦,-11450307
🌾,-11449057
📹,-11447467
🌏,-11442055
🐸,-11441609
🌙,-11385572
🙏,-11384791
🧂,-11382191
📓,-11382190
📗,-11375827
🎯,-11324621
🤰,-11323599
👡,-11320008
🦙,-11317952
🔏,-11316151
📐,-11314331
🌍,-11310475
👠,-11263716
🍁,-11262451
🍭,-11251644
🚍,-11249070
🎡,-11193799
🐻,-11191517
🐕,-11190745
🐓,-11187900
🥙,-11187412
👽,-11182497
🧯,-11127243
💰,-11122905
💫,-11122655
🏸,-11120836
⛄,-11117731
👬,-11058906
👯,-11058668
🌋,-11057606
🌛,-11056354
🍦,-11055814
🤹,-11055571
🚕,-11055320
🔒,-11053761
🥽,-11052711
🧚,-11051701
👐,-10993391
🤼,-10993115
🌜,-10990818
🔓,-10987968
🐉,-10983623
🍏,-10978774
🎈,-10936542
🧱,-10935533
🚂,-10929612
👆,-10927599
👇,-10927599
👈,-10927085
👉,-10927085
⏳,-10924473
🏮,-10870003
💥,-10867941
📸,-10858433
💋,-10809071
🌷,-10798286
💼,-10795462
🐝,-10792670
💡,-10791096
🎐,-10789277
🚟,-10788777
🌹,-10742511
🥊,-10738652
🍒,-10737116
🦶,-10730993
🐌,-10730452
🔑,-10728939
🎠,-10726584
🧘,-10665703
🧘,-10665703
🍛,-10661819
⌛,-10661301
🙇,-10660811
🚬,-10659241
🐩,-10658467
🍫,-10606299
🚪,-10601945
🥖,-10598613
🤱,-10597072
🦢,-10593198
🐨,-10529968
☕,-10527657
👲,-10468337
🦃,-10467777
👫,-10467033
👃,-10466540
🐒,-10466511
🧗,-10466252
🔍,-10460829
🤵,-10400225
🐇,-10395552
🔎,-10395036
🌃,-10386534
🚗,-10343381
⛺,-10342631
🐖,-10334396
🚖,-10330815
🚃,-10327992
🦞,-10281714
🥇,-10269930
🧨,-10218225
🌈,-10204618
🚧,-10201819
🌽,-10197994
🏡,-10197692
🚐,-10195604
👂,-10138092
🍘,-10137825
🚘,-10077892
🍉,-10076876
🥁,-10073534
🤞,-10072812
🎨,-10072281
🥭,-10071275
💐,-10071257
🍻,-10070722
🎏,-10070457
🎌,-10069157
🍐,-10066138
🤷,-10010313
🏆,-10008817
🐏,-10001315
💴,-10000805
💴,-10000805
🥋,-10000795
🛀,-10000029
🍇,-9951168
👌,-9941224
🧴,-9937320
🌯,-9936552
🐑,-9935263
👒,-9931963
🏪,-9930894
🍖,-9878733
🦄,-9875598
🍼,-9869738
💶,-9864851
💶,-9864851
🤢,-9863662
👺,-9820640
🍕,-9815527
🎪,-9812674
🧸,-9810650
👭,-9810395
🎉,-9810369
🤘,-9810155
🍝,-9808832
🏰,-9805477
🎳,-9804702
⛪,-9804441
📠,-9803935
🍙,-9803423
🚽,-9803415
🍈,-9802935
😈,-9753225
👿,-9753224
🐈,-9740718
🍲,-9737117
🥓,-9685212
💅,-9679823
👜,-9679044
🚢,-9678772
🌻,-9677053
🍌,-9674949
🧮,-9626097
🦀,-9623531
🌰,-9619679
🌰,-9619679
🐽,-9616050
🤴,-9611239
🐙,-9555656
🎊,-9547704
🥘,-9547217
🐮,-9542050
🍓,-9490908
🤝,-9480681
🍮,-9479610
🍶,-9474191
📁,-9472646
📂,-9472131
🎒,-9429221
🥩,-9424340
🥫,-9418430
🐰,-9410198
🚵,-9408411
📖,-9406337
👔,-9402209
🍩,-9350340
🤜,-9349864
🤛,-9349608
🧥,-9349076
💷,-9345946
💷,-9345946
🚑,-9345687
🌗,-9345219
🎫,-9343687
🍵,-9342876
🥛,-9342866
👅,-9290684
🥔,-9284816
🌓,-9278654
🐔,-9217974
👑,-9214941
📻,-9214392
👀,-9212054
🍠,-9158338
🙅,-9155266
🌭,-9154261
🙌,-9152485
🐤,-9150693
👷,-9150424
🐯,-9149408
😹,-9147071
🎹,-9144971
💀,-9144713
📥,-9143411
📤,-9143154
💨,-9142389
⛽,-9095880
🔮,-9090708
💊,-9088990
🦹,-9088724
🥜,-9086932
🥠,-9085385
🤽,-9083841
🍧,-9082518
📺,-9081242
🐁,-9081234
🏊,-9079197
🏬,-9078143
🤟,-9020901
🐶,-9017773
🥑,-9014978
👻,-9014924
💳,-9014433
🐲,-9011666
📕,-8967641
👹,-8964822
🦑,-8962509
🌮,-8953302
🤦,-8951753
🐼,-8947849
🥗,-8946095
🙎,-8891603
🐥,-8889318
🥪,-8888266
🌉,-8883597
🛁,-8881027
🍊,-8827874
🍱,-8825540
💒,-8825497
👏,-8823266
🙊,-8822202
😿,-8820687
💵,-8817575
💵,-8817575
📇,-8816781
📡,-8815746
🍪,-8758991
😸,-8756695
🤶,-8755643
🏠,-8755627
⭐,-8754370
📮,-8705494
🥨,-8696270
🥧,-8693199
🙈,-8690871
😺,-8690646
🌐,-8674126
🙆,-8632497
🚚,-8630490
🙍,-8628691
💪,-8626664
📦,-8626364
😾,-8625370
🧽,-8621289
🚞,-8617107
📊,-8612715
🤚,-8560862
🍺,-8559545
😻,-8497630
🧀,-8495855
✋,-8495592
🐡,-8493250
🐵,-8493237
🔐,-8490943
🐚,-8489097
💸,-8488342
🤮,-8487396
🥝,-8487107
🤠,-8429531
😼,-8428250
🎆,-8427385
🧝,-8423870
🐭,-8423044
🚌,-8421794
🏢,-8419188
🖖,-8364007
🍋,-8359128
🏫,-8358044
🍨,-8358039
🦸,-8302035
🐱,-8296419
🥼,-8289405
🦐,-8241112
🦊,-8238570
🧁,-8228015
😽,-8166361
👳,-8163261
🥥,-8096671
😰,-8095660
⚽,-8092540
📧,-8091250
🔥,-8041693
🔥,-8041693
🔥,-8041693
🔥,-8041693
🔥,-8041693
🔥,-8041693
🔥,-8041693
🏭,-8035243
👸,-8035045
🤙,-8034787
🔖,-8030093
🤬,-7975131
📙,-7972842
🍅,-7916522
🧶,-7916277
🧶,-7916277
🧶,-7916277
🚒,-7914949
🙉,-7901359
🍜,-7899031
🧠,-7842973
👛,-7842711
🥐,-7841514
👚,-7841159
🏦,-7828362
🗾,-7818275
🎰,-7768980
🏐,-7763575
🍿,-7709873
👊,-7706854
😨,-7703224
🎑,-7696495
🌟,-7636672
🥮,-7584496
🙋,-7577793
👎,-7575267
👋,-7575006
🕍,-7572909
🙀,-7572683
🌠,-7560554
🌠,-7560554
🏓,-7520462
💁,-7511745
👍,-7508702
👍,-7508702
👍,-7508702
👍,-7508702
👍,-7508702
👍,-7508702
👍,-7508702
😱,-7505836
🏥,-7502202
🧧,-7462627
🐣,-7439543
⛅,-7434876
🧲,-7392204
🥯,-7377333
👼,-7375570
🥞,-7375281
🍎,-7326933
🍄,-7317940
🍄,-7317940
🐷,-7312026
💌,-7308935
🏣,-7306638
🎾,-7299290
🍚,-7237491
🎀,-7189147
🏈,-7184313
📔,-7177395
🥟,-7177382
🦁,-7118564
🧰,-7063499
😎,-7049179
🥺,-7048148
🥺,-7048148
🥺,-7048148
🥺,-7048148
🥺,-7048148
🥺,-7048148
🥺,-7048148
🍥,-6976120
🎲,-6974316
📰,-6974059
🍰,-6913702
🏤,-6911885
🚨,-6862012
